FEN;d19;d20
1B1bn1k1/1b3pp1/1p2p2p/p7/B1P5/3N4/PP3PPP/6K1 b - - 1 27;-3;0
1B1bn1k1/1b3pp1/pp2p2p/1P6/P3P1P1/5P2/2K1N1BP/8 b - - 0 23;-1;-6
1B1bn1k1/1b3pp1/pp2p2p/8/PP2P1P1/5P2/2K1N1BP/8 w - - 0 22;23;19
1B1bn1k1/1b3ppp/pp2p3/2p5/4P3/5P2/PPP1B1PP/3N2K1 b - - 3 20;-23;-20
1B1bn1k1/1b4pp/1p2pp2/pP1p4/P2PP3/5PPP/3N2B1/6K1 b - - 1 30;-38;-44
1B1bn1k1/1p1b1q1p/p1p2pp1/2Pp4/3P4/2P2N1P/P1B1QPP1/6K1 w - - 0 27;25;25
1B1bn1k1/1p1b1q1p/p1p2pp1/2Pp4/3P4/2P4P/P1B1QPPN/6K1 b - - 1 28;1;1
1B1bn1k1/1p1b3p/p1p1qpp1/2Pp4/3P4/2P4P/P1B1QPPN/5K2 b - - 3 29;1;7
1B1bn1k1/1p1b3p/p1p1qpp1/2Pp4/3P4/2P4P/P1B1QPPN/6K1 w - - 2 28;29;31
1B1bn1k1/1p1r1p2/p3n1p1/P1p4p/2N5/2P4P/1P1N1PP1/R4K2 b - - 4 31;-3;-10
1B1bn1k1/1p1r4/p3npp1/P1p4p/2N1N3/2P4P/1P3PP1/R4K2 b - - 1 32;-27;-25
1B1bn1k1/1p1r4/p3npp1/P1p4p/2N5/2P4P/1P1N1PP1/R4K2 w - - 0 31;22;28
1B1bn1k1/3N3p/p3ppp1/2P5/1P3PP1/P6P/8/6K1 w - - 1 46;241;247
1B1bn1k1/3N3p/p3ppp1/2P5/PP3PP1/7P/8/6K1 b - - 0 47;-255;-278
1B1bn1k1/3b1ppp/8/p1pP4/P1N5/2P4P/2B3P1/6K1 b - - 2 33;-72;-70
1B1bn1k1/3b1ppp/p3p3/q1p5/5Q2/1P4P1/PN2PPBP/6K1 b - - 2 21;125;120
1B1bn1k1/3b1ppp/p3p3/q1p5/N4Q2/1P4P1/P3PPBP/6K1 w - - 1 20;6;0
1B1bn1k1/3b3p/p1p1qpp1/3p4/3P2N1/1BP2Q1P/P4PP1/5K2 b - - 3 33;15;9
1B1bn1k1/3b3p/p1p1qpp1/3p4/3P2N1/2P2Q1P/P1B2PP1/5K2 w - - 2 32;0;0
1B1bn1k1/5p1p/1p6/p1p2Pp1/P1B5/2P5/1P3KPP/8 b - - 1 27;-48;-41
1B1bn1k1/5p1p/1p6/p1p2Pp1/P1B5/2P5/1P4PP/6K1 w - a6 0 26;48;45
1B1bn1k1/5p2/1p2p2p/p4bp1/1PP5/P4P2/B5PP/2N3K1 w - - 1 33;1;-4
1B1bn1k1/5p2/1p2p2p/p5p1/1PP1b3/P4P2/B5PP/2N3K1 b - - 0 33;15;22
1B1bn1k1/5p2/1p2p2p/p5p1/1PP1b3/P7/B4PPP/2N3K1 w - a6 0 32;-6;-8
1B1bn1k1/5pp1/2p1p1p1/1pPp4/1P1P2P1/2NBPP2/1P5P/6K1 b - - 0 26;-469;-472
1B1bn1k1/5ppp/2n1p3/2N5/3PP3/8/3N2PP/6K1 w - - 1 30;-89;-91
1B1bn1k1/5ppp/4p3/p1p5/P3B3/2P4P/1P3PP1/6K1 b - - 1 26;-59;-61
1B1bn1k1/5ppp/4p3/p7/8/5P2/P4P1P/2R3K1 b - - 0 27;-141;-147
1B1bn1k1/5ppp/p1p1p3/2Pp4/N2Pn3/4PN1P/P4PP1/6K1 w - - 0 25;193;197
1B1bn1k1/5ppp/p1p1p3/2PpN3/N2Pn3/4P2P/P4PP1/6K1 b - - 1 26;-196;-189
1B1bn1k1/5ppp/p3p3/1bp5/4B3/1P1NQ1P1/4qP1P/6K1 b - - 1 24;459;467
1B1bn1k1/5ppp/p3p3/1bp5/4BQ2/1P1N2P1/4qP1P/6K1 w - - 0 23;-473;-469
1B1bn1k1/5ppp/p3p3/1bp5/4BQ2/1P1N2P1/q3PP1P/6K1 b - - 1 23;463;470
1B1bn1k1/5ppp/p3p3/1bp5/5Q2/1P1N2P1/q3PPBP/6K1 w - - 0 22;-144;-138
1B1bn1k1/5ppp/p3p3/qbp5/5Q2/1P1N2P1/P3PPBP/6K1 b - - 4 22;147;151
1B1bn1k1/5ppp/p3p3/qbp5/5Q2/1P4P1/PN2PPBP/6K1 w - - 3 21;-141;-146
1B1bn1k1/6pp/p3p3/1bp2p2/4B3/1P1NQ1P1/4qP1P/6K1 w - f6 0 24;812;818
1B1bn1k1/8/1R1p3p/p1p1pP2/b1P5/P4P2/5N1P/6K1 w - - 1 40;338;351
1B1bn1k1/8/R2p3p/p1p1pP2/2P5/Pb3P2/5N1P/6K1 w - - 3 41;355;351
1B1bn1k1/8/R2p3p/p1p1pP2/b1P5/P4P2/5N1P/6K1 b - - 2 41;-344;-351
1B1bn1k1/n4ppp/4p3/2N5/3PP3/8/3N2PP/6K1 b - - 0 30;95;89
1B1bn1k1/p4p1p/1p6/2p2Pp1/P1B5/2P5/1P4PP/6K1 b - - 3 26;-47;-59
1B1bn1k1/p4p2/1p2p2p/6p1/1PP1b3/P7/B4PPP/2N3K1 b - - 5 32;16;10
1B1bn1k1/p4ppp/1p6/2p2B2/8/2P2P2/PP4PP/6K1 b - - 2 21;-35;-41
1B1bn1k1/p4ppp/2p1p3/2Pp4/N2Pn3/4PN1P/P4PP1/6K1 b - - 0 25;-125;-118
1B1bn1k1/p5p1/1p2p2p/1Pp4P/2N1P1P1/1P3P2/4K3/8 w - - 1 36;338;346
1B1bn1k1/pb3pp1/1p2p2p/8/2P5/3N4/PPB2PPP/6K1 b - - 3 26;-18;-11
1B1bn1k1/pb3pp1/1p2p2p/8/PP2P1P1/5P2/2K1N1BP/8 b - - 2 22;-9;-3
1B1bn1k1/pp1b1q1p/2p2pp1/2Pp4/3P4/2P2N1P/P1B1QPP1/6K1 b - - 1 27;-20;-24
1B1bn1n1/4k2p/2KpB3/3Pp1p1/2N1Pp2/5P1P/6P1/8 b - - 14 54;-439;-455
1B1bn2n/1Np1k3/2Pp4/1N1Pp2p/4Pp1P/5P1K/8/8 w - - 12 56;253;241
1B1bn2n/1Np1k3/2Pp4/3Pp2p/1N2Pp1P/5P1K/8/8 b - - 5 53;-66;-60
1B1bn2n/1Np1k3/2Pp4/3Pp2p/4Pp1P/2N2P1K/8/8 b - - 9 55;-220;-232
1B1bn2n/1Np1k3/2Pp4/3Pp2p/4Pp1P/5P1K/N7/8 w - - 8 54;79;79
1B1bn2n/1Np1k3/N1Pp4/3Pp2p/4Pp1P/5P1K/8/8 w - - 4 52;71;69
1B1bn2n/NNp1k3/2Pp4/3Pp2p/4Pp1P/5P1K/8/8 b - - 13 57;-251;-251
1B1bn3/1B2k1pp/1p6/p1p2P2/2P5/3K4/PP5P/8 w - - 2 32;20;15
1B1bn3/1Kp1k2b/2Pp4/3Pp3/4Pp2/2N2Pp1/4B1P1/8 b - - 15 54;-455;-493
1B1bn3/1Kp1k2b/2Pp4/3Pp3/4Pp2/2N2Pp1/6P1/3B4 w - - 14 53;351;357
1B1bn3/1Kp1k3/2Pp2b1/3Pp3/4Pp2/2N2Pp1/4B1P1/8 w - - 16 54;460;435
1B1bn3/1Kp1k3/2Pp2b1/3Pp3/4Pp2/2N2Pp1/6P1/3B4 b - - 13 53;-413;-428
1B1bn3/1N3k1p/p2P2p1/1b1Np3/4Pp2/5P1P/1P4P1/6K1 b - - 6 34;-167;-180
1B1bn3/1Np1k3/2Pp2n1/1N1Pp2p/4Pp1P/5P1K/8/8 b - - 11 56;-230;-244
1B1bn3/1Np1k3/2Pp2n1/3Pp2p/1N2Pp1P/5P1K/8/8 w - - 6 53;76;76
1B1bn3/1Np1k3/2Pp2n1/3Pp2p/4Pp1P/2N2P1K/8/8 w - - 10 55;234;217
1B1bn3/1Np1k3/2Pp2n1/3Pp2p/4Pp1P/5P1K/N7/8 b - - 7 54;-231;-244
1B1bn3/1Np1k3/N1Pp2n1/3Pp2p/4Pp1P/5P1K/8/8 b - - 3 52;-208;-219
1B1bn3/1Q2qppk/2P4p/8/7P/P4BP1/5P2/6K1 w - - 3 48;439;441
1B1bn3/1Qq2ppk/2P4p/8/7P/P4BP1/5P2/6K1 b - - 2 48;-433;-434
1B1bn3/1b2kpp1/1p2p2p/p3N3/B1P5/8/PP3PPP/6K1 w - - 4 28;27;22
1B1bn3/1b2kpp1/1pN1p2p/p7/B1P5/8/PP3PPP/6K1 b - - 5 29;11;15
1B1bn3/1b3k2/3p2n1/p2Pp1pp/N1P1Pp2/3N1P1P/4B1P1/6K1 b - - 1 43;-91;-84
1B1bn3/1b3k2/3p2n1/p2Pp1pp/NNP1Pp2/5P1P/4B1P1/6K1 w - - 0 42;77;81
1B1bn3/1b3k2/p2p2n1/3Pp1pp/NNP1Pp2/5P1P/4B1P1/6K1 b - - 4 42;-82;-80
1B1bn3/1b3k2/pN1p2n1/3Pp1pp/1NP1Pp2/5P1P/4B1P1/6K1 w - - 3 41;66;80
1B1bn3/1b3kp1/pp3p1p/2pN4/2P1P3/P2B1P2/1P1K2PP/8 w - - 0 24;201;207
1B1bn3/1p1k3p/3p4/PP1Pp3/2N1Pp2/5P2/4K1P1/8 w - - 1 41;477;473
1B1bn3/1p1k3p/P2p4/1P1Pp3/2N1Pp2/5P2/4K1P1/8 b - - 0 42;-503;-503
1B1bn3/1p1r1k2/p3npp1/P1p4p/2N1N3/2P4P/1P3PP1/R4K2 w - - 2 32;32;35
1B1bn3/1p1r1k2/p3npp1/P1p4p/2N1N3/R1P4P/1P3PP1/5K2 b - - 3 33;-24;-24
1B1bn3/1p2k2p/3p4/P2Pp3/1PN1Pp2/5P2/4K1P1/8 w - - 2 40;377;379
1B1bn3/1p2k2p/3p4/PP1Pp3/2N1Pp2/5P2/4K1P1/8 b - - 0 41;-386;-386
1B1bn3/1p3k1p/3p4/P2Pp3/1P2Pp2/N4P2/4K1P1/8 w - - 0 39;380;381
1B1bn3/1p3k1p/3p4/P2Pp3/1PN1Pp2/5P2/4K1P1/8 b - - 1 40;-373;-389
1B1bn3/1p3kpp/p3pp2/8/2pPP3/P1N2P2/1P3KPP/8 w - - 4 26;0;0
1B1bn3/2p1k3/2Pp4/1N1Pp1pp/4Pp2/5P1B/8/4K3 w - - 2 74;434;484
1B1bn3/2p1k3/2Pp4/1N1PpBpp/4Pp2/5P2/8/4K3 b - - 3 75;-465;-471
1B1bn3/2p2k2/2Pp4/1N1PpBpp/4Pp2/5P2/8/4K3 w - - 4 75;548;560
1B1bn3/2pB1k2/2Pp4/1N1Pp1pp/4Pp2/5P2/8/4K3 b - - 5 76;-618;-629
1B1bn3/2pBk3/2Pp4/1N1Pp1pp/4Pp2/5P2/8/4K3 w - - 6 76;700;708
1B1bn3/3N1k1p/4ppp1/1PP5/5PP1/7P/8/6K1 b - - 0 49;-321;-347
1B1bn3/3N1k1p/4ppp1/1pP5/P4PP1/7P/8/6K1 w - - 0 48;307;313
1B1bn3/3N1k1p/p3ppp1/1PP5/P4PP1/7P/8/6K1 b - - 0 48;-257;-260
1B1bn3/3N1k1p/p3ppp1/2P5/PP3PP1/7P/8/6K1 w - - 1 47;260;266
1B1bn3/3Nk2p/2P1ppp1/1P6/5PP1/7P/8/6K1 b - - 0 50;-329;-347
1B1bn3/3Nk2p/4ppp1/1PP5/5PP1/7P/8/6K1 w - - 1 49;334;357
1B1bn3/3b1k2/1p2pp2/1P4p1/N2PP3/3B1P1P/4K3/8 w - - 5 82;139;142
1B1bn3/3b2kp/3p2p1/1p1Pp3/4Pp2/2PB1P1P/6P1/2N2K2 w - - 4 46;20;26
1B1bn3/3k3p/P2p4/3Pp3/2N1Pp2/5P2/4K1P1/8 b - - 0 43;-487;-525
1B1bn3/3k3p/p2p4/1P1Pp3/2N1Pp2/5P2/4K1P1/8 w - - 0 42;470;470
1B1bn3/3k4/3p4/3PpN1p/4Pp2/5P1P/5K2/8 w - - 2 47;15;15
1B1bn3/3k4/ppp2p2/3p1PpN/3P2P1/1PP1K3/P7/8 b - - 2 38;-8;-8
1B1bn3/3k4/ppp2p2/3p1PpN/3P2P1/1PPK4/P7/8 w - - 1 37;20;13
1B1bn3/4Qppk/2P4p/8/7P/P4BP1/5P2/6K1 b - - 0 49;-430;-436
1B1bn3/4k2p/2KNB2n/3Pp1p1/4Pp2/5P1P/6P1/8 b - - 0 55;-415;-427
1B1bn3/4k2p/2KpB2n/3Pp1p1/2N1Pp2/5P1P/6P1/8 w - - 15 54;415;427
1B1bn3/4kpp1/1pB1p2p/p7/2P5/8/PP3PPP/6K1 b - - 0 30;9;12
1B1bn3/4kpp1/1pb1p2p/p7/B1P5/8/PP3PPP/6K1 w - - 0 29;-15;-9
1B1bn3/4kppp/1p6/p1p5/P1B1P3/3K4/1P3PPP/8 b - - 0 29;-55;-46
1B1bn3/4kppp/1p6/p1p5/P1B5/3KP3/1P3PPP/8 w - - 5 28;62;67
1B1bn3/5k1p/p2P2p1/1bNNp3/4Pp2/5P1P/1P4P1/6K1 w - - 5 33;274;286
1B1bn3/5k2/1P1p3p/3Pp1p1/4Pp2/5P2/6PP/6K1 w - - 1 35;-101;-146
1B1bn3/5k2/1p4pp/p1p2p2/P1N5/2PP1KP1/1P5P/8 b - - 7 38;-39;-48
1B1bn3/5k2/3p2n1/p1PPp1pp/N3Pp2/3B1P1P/6P1/6K1 b - - 0 45;-82;-92
1B1bn3/5k2/3p2n1/p1PPp1pp/N3Pp2/3b1P1P/4B1P1/6K1 w - - 0 44;81;91
1B1bn3/5k2/6n1/p1pPp1pp/N3Pp2/3B1P1P/6P1/6K1 w - - 0 45;89;92
1B1bn3/5k2/b2p2n1/p1PPp1pp/N3Pp2/3N1P1P/4B1P1/6K1 b - - 0 44;-85;-85
1B1bn3/5k2/b2p2n1/p2Pp1pp/N1P1Pp2/3N1P1P/4B1P1/6K1 w - - 2 43;82;82
1B1bn3/5pp1/2p1p1pk/1pPp4/1P1PP1P1/2NB1P2/1P5P/6K1 w - - 1 27;533;570
1B1bn3/5ppk/2P4p/8/P6P/5BP1/5P2/6K1 w - - 1 50;345;341
1B1bn3/5ppk/2p1p1p1/1pPp4/1P1P2P1/2NBPP2/1P5P/6K1 w - - 1 26;653;659
1B1bn3/5ppk/2p1p1p1/1pPp4/1P1PP1P1/2NB1P2/1P5P/6K1 b - - 0 27;-502;-508
1B1bn3/6rk/1P1p1n1p/3PpP1P/1KN1P3/6N1/8/R7 w - - 5 50;557;559
1B1bn3/6rk/1P1p3p/3PpP1P/1KN1P1n1/6N1/8/R7 b - - 4 50;-289;-312
1B1bn3/8/p1N3kp/2Pp1pp1/P2Pp3/4P1P1/5P1P/4K3 b - - 0 43;-277;-290
1B1bn3/8/p1p3kp/N1Pp1pp1/P2Pp3/4P1P1/5P1P/4K3 w - - 2 42;272;278
1B1bn3/N2k4/2p5/1p3pp1/1P5p/P3P2P/2K3P1/8 b - - 3 42;183;206
1B1bn3/N2k4/2p5/1p3ppp/1P6/P2KP2P/6P1/8 b - - 5 39;161;174
1B1bn3/Pk5p/3N4/3Pp3/4Pp2/5P2/4K1P1/8 b - - 0 45;-510;-516
1B1bn3/Pk5p/3p4/3Pp3/2N1Pp2/5P2/4K1P1/8 w - - 1 44;538;544
1B1bn3/R2n2rk/1P1p3p/3PpP1P/1KN1P3/6N1/8/8 w - - 7 51;562;597
1B1bn3/R5rk/1P1p1n1p/3PpP1P/1KN1P3/6N1/8/8 b - - 6 51;-553;-563
1B1bn3/p3k1p1/1p5p/1Pp5/P1PpK1BP/3P2P1/8/8 b - - 2 42;-134;-141
1B1bn3/pb3kp1/1p3p1p/2pN4/2P1P3/P2B1P2/1P1K2PP/8 b - - 3 24;-220;-215
1B1bnk2/1R6/1N1p2b1/2pPp1pp/4Pp2/5P2/r5PP/5BK1 w - - 19 42;15;9
1B1bnk2/1b3pp1/1p2p2p/p3N3/B1P5/8/PP3PPP/6K1 b - - 3 28;-11;-14
1B1bnk2/1b3pp1/1p2p2p/p7/B1P5/3N4/PP3PPP/6K1 w - - 2 27;9;13
1B1bnk2/2p5/2Pp3p/1N1Pp1p1/4Pp2/3B1P2/8/4K3 w - - 4 72;276;343
1B1bnk2/2p5/2Pp3p/1N1Pp1p1/4Pp2/5P2/8/4KB2 b - - 5 73;-363;-375
1B1bnk2/2p5/2Pp4/1N1Pp1pp/4Pp2/5P1B/8/4K3 b - - 1 74;-402;-415
1B1bnk2/2p5/2Pp4/1N1Pp1pp/4Pp2/5P2/8/4KB2 w - - 0 73;428;431
1B1bnk2/5pp1/1n1p3p/3Np3/6P1/3KP2P/5PB1/8 w - - 9 46;-18;-24
1B1bnk2/5pp1/1n1p3p/4p3/1N4P1/3KP2P/5PB1/8 b - - 10 47;64;70
1B1bnk2/5pp1/3p3p/3Np3/2n3P1/3KP2P/5PB1/8 b - - 8 46;19;24
1B1bnk2/5pp1/3p3p/3Np3/2n3P1/4P2P/4KPB1/8 w - - 7 45;2;1
1B1bnk2/5ppp/4p3/3b4/2pP4/2P2P2/3NB1PP/6K1 w - - 3 31;60;55
1B1bnk2/5ppp/4p3/p7/8/5P2/P4P1P/2R3K1 w - - 1 27;140;146
1B1bnk2/p4pp1/1pB3p1/1Pp5/2P4P/P5P1/5PK1/8 w - - 3 38;102;110
1B1bnk2/p4ppp/4p3/2p5/2P5/PK2PBPP/5P2/8 b - - 5 30;-59;-65
1B1bnr1k/1b4pp/p3pp2/1pq5/5P2/1BN3Q1/PPP3PP/5R1K b - - 1 21;107;106
1B1bq1k1/1r5p/4pp2/1pPp1p2/pNnP4/P1Q1P2P/5PP1/1R4K1 w - - 22 34;13;17
1B1bq1k1/2Rb1r1p/p2p2p1/3Pp3/1P2Pp2/3B1P1P/1NQ3P1/6K1 b - - 0 34;-429;-429
1B1bq1k1/6p1/2p3P1/1pPp2nQ/1p1Pp1B1/PP2P3/8/1K6 b - - 0 38;-1032;-1357
1B1bq1k1/6rp/4pp2/1pPp1p2/pNnP4/P1Q1P2P/5PP1/1R4K1 b - - 21 34;96;134
1B1bq1k1/pQ3pp1/4p1p1/2Rp4/4n3/4P3/PP3PPP/R5K1 b - - 0 23;-370;-373
1B1bq1k1/pQ3pp1/4p1p1/2np4/8/4P3/PP3PPP/R5K1 w - - 0 23;378;375
1B1bq1k1/pQ3pp1/4p1p1/2rp4/4n3/4P3/PP3PPP/R1R3K1 w - - 1 22;368;374
1B1bq1k1/pp3pp1/2p1n2p/1PPp4/P2P1P2/3Q3P/4N1P1/6K1 b - - 2 33;-4;-10
1B1bq1k1/r2b1ppp/p1B5/2p5/8/8/1PP2PPP/2QR2K1 b - - 5 23;-199;-201
1B1bq1k1/r4ppp/p1b5/2p5/8/8/1PP2PPP/2QR2K1 w - - 0 23;192;192
1B1bq1nk/6np/2Pp2p1/p2Pp3/Q3P3/6PP/4N1BK/8 b - - 2 35;-222;-229
1B1bq3/2n2k2/r5p1/1p1pPp1B/1Pp2P2/2P2Q1P/8/6RK w - - 19 43;224;156
1B1bqr1k/1R1B1rpp/p1Pp4/1n1Pp3/1P3p2/5Q1P/5PP1/4R1K1 b - - 4 34;-205;-226
1B1bqr1k/1R3rpp/p1Pp4/1n1Pp3/1P3pB1/5Q1P/5PP1/4R1K1 w - - 3 33;288;302
1B1bqr1k/1Rn2rpp/p1Pp4/3Pp3/1P3pB1/5Q1P/5PP1/4R1K1 b - - 2 33;-298;-308
1B1bqrk1/5ppp/2Np4/1Q6/1p2Pp2/8/1PP3PP/6K1 b - - 0 28;762;774
1B1br1k1/1B3ppp/4p3/1n2P3/5P2/6P1/2p1N2P/2R3K1 w - - 2 27;296;302
1B1br1k1/1Bn2ppp/4p3/4P3/5P2/1p4P1/2P1N2P/3R2K1 b - - 0 26;-285;-292
1B1br1k1/1Bn2ppp/4p3/4P3/5P2/6P1/2p1N2P/2R3K1 b - - 1 27;-290;-290
1B1br1k1/1Bn2ppp/4p3/4P3/5P2/6P1/2p1N2P/3R2K1 w - - 0 26;290;287
1B1br1k1/1R1P2pp/p7/2p5/2n5/4p3/4b1PP/R5K1 b - - 0 40;306;381
1B1br1k1/1R1b2pp/p2p4/2rP4/2nNp3/8/4N1PP/R5K1 b - - 0 36;300;296
1B1br1k1/1R4pp/p2P4/2p5/2n1p3/8/4b1PP/R5K1 b - - 0 39;427;421
1B1br1k1/1R4pp/p2P4/2p5/2n5/4p3/4b1PP/R5K1 w - - 0 39;-365;-364
1B1br1k1/1R4pp/p2p4/2NP4/2n1p3/8/4b1PP/R5K1 b - - 0 38;408;398
1B1br1k1/1R4pp/p2p4/2rP4/2nNp1b1/8/4N1PP/R5K1 w - - 1 36;-250;-259
1B1br1k1/1R4pp/p2pN3/2rP4/2n1p1b1/8/4N1PP/R5K1 b - - 2 37;396;393
1B1br1k1/1R4pp/p2pN3/2rP4/2n1p3/8/4b1PP/R5K1 w - - 0 37;-410;-405
1B1br1k1/1R4pp/p7/2pP4/2n1p3/8/4b1PP/R5K1 w - - 0 38;-399;-410
1B1br1k1/1b1q1ppp/pp2pn2/8/PP1P1N1P/6P1/Q4P2/3RR1K1 w - - 0 26;28;34
1B1br1k1/1b3pp1/7p/1P1p4/3P4/2R1P2P/1P3PP1/6K1 w - - 1 29;-8;-14
1B1br1k1/1b3pp1/rP2p3/1p6/4PP1p/P1R4P/3R1QP1/6K1 b - - 0 31;-50;-56
1B1br1k1/1b4pp/p7/1pqpPp2/5P2/P2B4/3NQ1PP/5R1K b - - 1 27;-329;-332
1B1br1k1/1b4pp/p7/1pqpPp2/5P2/P2B4/3NQ1PP/5RK1 w - - 0 26;323;299
1B1br1k1/1b4pp/pq6/1pPpPp2/5P2/P2B4/3NQ1PP/5RK1 b - - 0 26;-303;-327
1B1br1k1/1b4pp/pq6/1pRpPp2/1P2nP2/P2B4/3NQ1PP/5RK1 b - - 2 25;-307;-301
1B1br1k1/1b4pp/pq6/1pnpPp2/1P3P2/P2B4/3NQ1PP/5RK1 w - - 0 25;298;314
1B1br1k1/1bR3pp/p5q1/1p1pPp2/1P2nP2/P2B4/3NQ1PP/5RK1 b - - 0 24;-312;-313
1B1br1k1/1bR3pp/pq6/1p1pPp2/1P2nP2/P2B4/3NQ1PP/5RK1 w - - 1 24;296;287
1B1br1k1/1p1b2pp/p2p4/2rP4/2nNp3/8/4N1PP/RR4K1 w - - 4 35;-332;-322
1B1br1k1/1p1q1p1p/3P2p1/p1Q5/2B1P3/3p1P2/P5PP/5K2 b - - 1 28;92;103
1B1br1k1/1p1q1p1p/3P2p1/p1Q5/2B1P3/3p1P2/P5PP/5K2 b - - 5 30;92;103
1B1br1k1/1p1q1p1p/3P2p1/p1Q5/3pP3/1B3P2/P5PP/5K2 b - - 4 27;101;83
1B1br1k1/1p1q1p1p/3P2p1/p1Q5/4P3/1B1p1P2/P5PP/5K2 w - - 0 27;-112;-92
1B1br1k1/1p1q1p1p/3P2p1/p1Q5/4P3/1B1p1P2/P5PP/5K2 w - - 4 29;-112;-92
1B1br1k1/1p2nppp/2p1p3/8/4P3/5BPP/PPP2P2/3R2K1 b - - 0 23;-152;-147
1B1br1k1/1p3p1p/3P2p1/p1Q5/q1B1P3/3p1P2/P5PP/5K2 w - - 2 28;-91;-94
1B1br1k1/1p3p1p/3P2p1/p1Q5/q3P3/1B1p1P2/P5PP/5K2 b - - 3 29;126;90
1B1br1k1/1prb2pp/p2p4/3P4/2nNp3/8/4N1PP/RR4K1 b - - 3 35;329;318
1B1br1k1/1q3ppp/2p1pn2/1pPp4/1P1P4/1NN1P2P/2Q2PP1/R5K1 b - - 0 20;-81;-86
1B1br1k1/1q3ppp/2p1pn2/1pPp4/1P1P4/1NN1P2P/2Q2PP1/r4RK1 w - - 0 19;94;89
1B1br1k1/1q3ppp/r1p1pn2/1pPp4/1P1P4/1NN1P2P/2Q2PP1/R4RK1 b - - 0 19;-76;-76
1B1br1k1/3b4/5p1p/1p1P2p1/8/3B3P/4RPP1/5K2 b - - 1 34;-17;-10
1B1br1k1/4q1pp/1p3p2/1R6/P7/1P4P1/5Q1P/6K1 w - - 6 34;0;0
1B1br1k1/5p1p/2r3P1/p1pN4/1pP1p3/1P2PbP1/P2R1P1R/2K5 b - g3 0 25;72;88
1B1br1k1/5p1p/2r5/p1pN2pP/1pP1p3/1P2PbP1/P2R1P1R/2K5 w - g6 0 24;-59;-65
1B1br1k1/5p1p/p3p1p1/1p1qP3/PP3PQ1/3P1N2/4K1PP/2R5 b - - 0 24;-283;-287
1B1br1k1/5p1p/p3p1p1/3qP3/pP3PQ1/3P1N2/4K1PP/2R5 w - - 0 24;322;331
1B1br1k1/5p2/2r3p1/p1pN4/1pP1p3/1P2PbP1/P1KR1P1R/8 b - - 1 26;97;97
1B1br1k1/5p2/2r3p1/p1pN4/1pP1p3/1P2PbP1/P2R1P1R/2K5 w - - 0 25;-91;-96
1B1br1k1/5p2/2r5/p1pN2p1/1pP1p3/1P2PbP1/P1KR1P1R/8 w - - 0 26;-99;-105
1B1br1k1/5p2/2r5/p1pN2p1/1pP1p3/1P2PbP1/P2R1P1R/1K6 b - - 1 27;93;106
1B1br1k1/5pp1/3pp3/8/1p2PP2/1N6/PP3n1P/2R3K1 b - - 0 29;176;182
1B1br1k1/5ppp/1q3n2/1pp5/4b3/2P3Q1/1PB3PP/RN3RK1 w - - 0 22;420;391
1B1br1k1/5ppp/1q3n2/1pp5/4b3/N1P3Q1/1PB3PP/R4RK1 b - - 1 23;-412;-412
1B1br1k1/5ppp/1q3n2/2p5/1p2B3/N1P3Q1/1P4PP/R4RK1 b - - 0 24;-246;-272
1B1br1k1/5ppp/1q3n2/2p5/1p2b3/N1P3Q1/1PB3PP/R4RK1 w - - 0 23;469;491
1B1br1k1/5ppp/1q6/2p5/1p2n3/N1P3Q1/1P4PP/R4RK1 w - - 0 24;289;295
1B1br1k1/5ppp/1q6/2p5/1p2nQ2/N1P5/1P4PP/R4RK1 b - - 1 25;-268;-287
1B1br1k1/5ppp/1qb2n2/1pp5/4P3/2P3Q1/1PB3PP/RN3RK1 b - - 0 22;-391;-396
1B1br1k1/5ppp/1qb2n2/1pp5/4p3/2P2PQ1/1PB3PP/RN3RK1 w - - 0 21;408;393
1B1br1k1/5ppp/1qb2n2/1ppp4/4P3/2P2PQ1/1PB3PP/RN3RK1 b - - 0 21;-391;-388
1B1br1k1/5ppp/2r5/p1pN3P/1pP1p1b1/1P2P1P1/P2R1P2/2K4R b - - 0 23;55;81
1B1br1k1/5ppp/2r5/p1pN3P/1pP1p3/1P2PbP1/P2R1P1R/2K5 b - - 2 24;60;66
1B1br1k1/5ppp/2r5/p1pN3P/1pP1p3/1P2PbP1/P2R1P2/2K4R w - - 1 23;-58;-65
1B1br1k1/5ppp/2r5/p1pN4/1pP1p1bP/1P2P1P1/P2R1P2/2K4R w - a6 0 22;-37;-46
1B1br1k1/5ppp/6q1/2p5/1p2nQ2/N1P5/1P4PP/R4RK1 w - - 2 25;375;378
1B1br1k1/5ppp/6q1/2p5/1pN1nQ2/2P5/1P4PP/R4RK1 b - - 3 26;-407;-413
1B1br1k1/5ppp/8/p2p1Q2/4n3/1q2PNP1/5PBP/R5K1 b - - 0 27;48;42
1B1br1k1/5ppp/R4n2/1R2p3/4P3/2r2B1P/5PP1/6K1 b - - 1 22;-40;-41
1B1br1k1/5ppp/pp6/3P4/1P6/PN6/5nPP/2R2BK1 b - - 0 25;-351;-357
1B1br1k1/7p/1p3pp1/4n3/3Np1P1/2P4P/PP2KP2/R7 b - - 3 28;-128;-133
1B1br1k1/7p/1p3pp1/8/3Np1P1/1PPn3P/P3KP2/R7 b - - 0 29;-146;-152
